Anonymous ID,Year,Prior Stat,Other Stat,Prior CS,Other CS,Prior Math,Other Math,How would you best describe your confidence with Tinker Plots?,How would you best describe your confidence with statistical concepts?,How would you best describe your confidence with R and RStudio?,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5,SD
64,Senior (4th Year +),"AP Statistics, IB Statistics or any other high school statistics course,Introductory College Statistics Course (100 or 200 level course),Advanced College Statics Course (300+ level statistics course)",,"AP CS A or similar high school programming course (eg. a course that teaches Java, Python, C++ etc.),Introductory CS course for CS/CE/ECE majors (eg. CS 124, 128),200+ level CS courses",,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I occasionally feel confident when using Tinker Plots,I feel confident engaging with statistical concepts most of the time,I feel confident using R and RStudio most of the time,7,10,5,7,8,8,7,10,10,10,6,8,8,9,8,7,8,7,7,10,1.4509525
65,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,"AP CS A or similar high school programming course (eg. a course that teaches Java, Python, C++ etc.),200+ level CS courses",,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I occasionally feel confident when using Tinker Plots,I occasionally feel confident when engaging with statistical concepts,I occasionally feel confused when using R and RStudio,8,8,7,7,7,7,5,6,7,7,8,7,8,7,7,8,7,9,8,8,0.8645047259
66,Sophomore (2nd Year),"AP Statistics, IB Statistics or any other high school statistics course",,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.),AP CS A or similar high school programming course (eg. a course that teaches Java, Python, C++ etc.),Introductory CS course for non-CS/CE/ECE majors (eg. CS 101, CS 105),Introductory CS course for CS/CE/ECE majors (eg. CS 124, 128)",,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I occasionally feel confident when using Tinker Plots,I feel confident engaging with statistical concepts most of the time,I occasionally feel confident when using R and RStudio,7,5,5,6,7,6,5,7,6,5,7,9,8,8,8,8,6,8,7,8,1.23969436
67,Junior (3rd Year),No prior statistics courses taken,,No prior programming or computer science courses taken,,College level Calculus (eg. Math 221/231/241),,I occasionally feel confident when using Tinker Plots,I feel confident engaging with statistical concepts most of the time,I feel confused using R and RStudio most of the time,9,10,10,9,7,8,7,8,8,7,8,7,7,7,5,8,8,7,8,10,1.252366182
69,Freshman (1st Year),No prior statistics courses taken,,No prior programming or computer science courses taken,,AP Calculus AB/BC,,I occasionally feel confident when using Tinker Plots,I occasionally feel confused when enaging with statistical concepts,I feel confused using R and RStudio most of the time,7,4,7,9,8,8,8,7,8,8,9,7,6,7,8,7,7,8,8,1,1.803505359
71,Sophomore (2nd Year),Introductory College Statistics Course (100 or 200 level course),,No prior programming or computer science courses taken,,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I feel confused using Tinker Plots most of the time,I occasionally feel confused when enaging with statistical concepts,I occasionally feel confused when using R and RStudio,8,7,8,8,8,9,4,5,8,4,7,6,7,7,7,7,4,6,7,9,1.542383664
74,Senior (4th Year +),"AP Statistics, IB Statistics or any other high school statistics course,Introductory College Statistics Course (100 or 200 level course)",,No prior programming or computer science courses taken,,No prior Calculus Experience,,I feel confused using Tinker Plots most of the time,I feel confused engaging with statistical concepts most of the time,I feel confused using R and RStudio most of the time,8,8,9,7,9,8,8,7,8,7,8,9,7,8,9,8,8,9,8,8,0.6863327412
75,Freshman (1st Year),No prior statistics courses taken,,"Introductory CS course for non-CS/CE/ECE majors (eg. CS 101, CS 105)",,AP Calculus AB/BC,,I occasionally feel confident when using Tinker Plots,I occasionally feel confident when engaging with statistical concepts,I feel confused using R and RStudio most of the time,5,6,7,4,5,7,7,7,7,5,2,4,7,4,7,6,7,5,7,7,1.472555959
76,Freshman (1st Year),No prior statistics courses taken,,Other,Online course via Princeton,AP Calculus AB/BC,,I feel confident using Tinker Plots most of the time,I feel confident engaging with statistical concepts most of the time,I occasionally feel confused when using R and RStudio,5,3,8,6,8,3,4,9,7,4,8,9,6,9,9,9,8,8,8,7,2.074912807
77,Junior (3rd Year),"AP Statistics, IB Statistics or any other high school statistics course",,"Introductory CS course for CS/CE/ECE majors (eg. CS 124, 128)",,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I occasionally feel confused when using Tinker Plots,I occasionally feel confident when engaging with statistical concepts,I occasionally feel confused when using R and RStudio,6,7,8,7,8,5,8,7,7,5,7,8,7,6,8,6,8,6,9,6,1.099042646
79,Sophomore (2nd Year),"AP Statistics, IB Statistics or any other high school statistics course",,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.)",,College level Calculus (eg. Math 221/231/241),,I occasionally feel confident when using Tinker Plots,I occasionally feel confident when engaging with statistical concepts,I occasionally feel confident when using R and RStudio,10,7,8,7,9,9,8,10,8,7,9,8,10,9,7,7,8,9,7,10,1.136708082
80,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,"AP CS A or similar high school programming course (eg. a course that teaches Java, Python, C++ etc.),Other",Grade school courses,AP Calculus AB/BC,,I occasionally feel confident when using Tinker Plots,I feel confident engaging with statistical concepts most of the time,I occasionally feel confident when using R and RStudio,8,9,8,8,8,8,7,8,8,8,8,8,8,7,8,8,7,8,8,8,0.4472135955
81,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,"AP CS A or similar high school programming course (eg. a course that teaches Java, Python, C++ etc.)",,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I occasionally feel confused when using Tinker Plots,I occasionally feel confident when engaging with statistical concepts,I feel confused using R and RStudio most of the time,8,6,8,7,6,7,6,6,7,8,6,6,7,7,8,8,6,9,7,6,0.9445132414
